range,surface_offset_mm,z_shift_mm,piece,rmse_mm,mae_mm,max_error_mm,points,winner
full,0.1,0.1499999999999999,Bishop,0.2517541676705514,0.23022246942095706,0.6315709999999974,235,1
full,0.1,0.1499999999999999,Queen,0.38566468498825973,0.32607222316904244,1.2029999999999976,236,0
full,0.1,0.1999999999999999,Pawn,1.2751878238195644,1.056965937649497,1.9166598613033994,236,0
full,0.1,0.1999999999999999,Bishop,0.27480116642020036,0.24943987280807994,0.7397254139678147,234,1
full,0.1,0.1999999999999999,Queen,0.41414961677179524,0.3479287572749583,1.2029999999999976,236,0
full,0.1,0.24999999999999983,Pawn,1.246606379598612,1.029314924320691,1.8735510536327027,236,0
full,0.1,0.24999999999999983,Bishop,0.3031796812724211,0.27446632520535613,0.7778209999999994,234,1
full,0.1,0.24999999999999983,Queen,0.44330652028464707,0.37002716611029896,1.3492499999999996,236,0
full,0.1,0.2999999999999999,Pawn,1.2176700234074536,1.0011607155653546,1.848659861303398,236,0
full,0.1,0.2999999999999999,Bishop,0.33185375296236286,0.29614092529904135,0.8627254139678175,233,1
full,0.1,0.2999999999999999,Queen,0.47237049547228893,0.3935560926334042,1.3492499999999996,236,0
full,0.125,-0.3,Pawn,1.5757278495418945,1.3370836712790337,2.2866598613033986,232,0
full,0.125,-0.3,Bishop,0.22084188406112495,0.15293013352540105,1.2272483897085653,232,0
full,0.125,-0.3,Queen,0.2140595196133776,0.15304565478436444,1.1779999999999973,232,1
full,0.125,-0.25,Pawn,1.5481321362117548,1.3111918257321038,2.243551053632702,233,0
full,0.125,-0.25,Bishop,0.20164063895237067,0.1374416333880268,1.3575848082566555,232,1
full,0.125,-0.25,Queen,0.21359937006922305,0.16555849826411884,1.0637130036794353,232,0
full,0.125,-0.2,Pawn,1.518814973155151,1.2827528400718264,2.2166598613033948,233,0
full,0.125,-0.2,Bishop,0.18137774019983374,0.12929727491682688,1.1042483897085678,233,1
full,0.125,-0.2,Queen,0.21809398899858393,0.18008216846662006,0.9959999999999987,233,0
full,0.125,-0.15000000000000002,Pawn,1.4912437674257544,1.2569581572625101,2.173551053632698,234,0
full,0.125,-0.15000000000000002,Bishop,0.1725351230827704,0.12834040402640928,1.2113348082566535,233,1
full,0.125,-0.15000000000000002,Queen,0.22865173376934908,0.1966254756832432,0.8817130036794367,233,0
full,0.125,-0.10000000000000003,Pawn,1.4618805097100247,1.2283564604134007,2.1476598613033993,234,0
full,0.125,-0.10000000000000003,Bishop,0.1667946826092539,0.13447495572482465,0.9579983897085604,234,1
full,0.125,-0.10000000000000003,Queen,0.24396445380336584,0.21296860688404484,0.7480000000000011,234,0
full,0.125,-0.050000000000000044,Pawn,1.43436745812615,1.2027157821252235,2.1045510536327026,235,0
full,0.125,-0.050000000000000044,Bishop,0.17202484500529044,0.14394516132779855,1.0293348082566602,234,1
full,0.125,-0.050000000000000044,Queen,0.2635242465809772,0.22975955484698962,0.7480000000000011,234,0
full,0.125,-5.551115123125783e-17,Pawn,1.404991733826823,1.1741519418284438,2.0796598613033943,235,0
full,0.125,-5.551115123125783e-17,Bishop,0.1794688571697327,0.15824942398429828,0.7759983897085618,235,1
full,0.125,-5.551115123125783e-17,Queen,0.28513741916763274,0.24607937876964486,0.8337543790720616,235,0
full,0.125,0.04999999999999993,Pawn,1.3775683099907226,1.1485667237263872,2.0365510536326976,236,0
full,0.125,0.04999999999999993,Bishop,0.19545463628975834,0.17329867797301726,0.7813348082566574,235,1
full,0.125,0.04999999999999993,Queen,0.3102492469809566,0.26279887589019435,0.9959999999999987,235,0
full,0.125,0.09999999999999992,Pawn,1.3482958420612958,1.1201239166512047,2.0106598613033952,236,0
full,0.125,0.09999999999999992,Bishop,0.20916308497666627,0.18811101931238194,0.5684754139678123,235,1
