piece,z_mm,half_width_mm
Bishop,46.49006623,6.535714286
Bishop,46.58940397,6.607142857
Bishop,46.68874172,6.678571429
Bishop,46.78807947,6.75
Bishop,46.88741722,6.821428571
Bishop,46.98675497,6.892857143
Bishop,47.08609272,6.964285714
Bishop,47.18543046,7.035714286
Bishop,47.28476821,7.071428571
Bishop,47.38410596,7.142857143
Bishop,47.48344371,7.178571429
Bishop,47.58278146,7.214285714
Bishop,47.68211921,7.25
Bishop,47.78145695,7.285714286
Bishop,47.8807947,7.321428571
Bishop,47.98013245,7.357142857
Bishop,48.0794702,7.392857143
Bishop,48.17880795,7.428571429
Bishop,48.2781457,7.464285714
Bishop,48.37748344,7.5
Bishop,48.47682119,7.5
Bishop,48.57615894,7.535714286
Bishop,48.67549669,7.535714286
Bishop,48.77483444,7.571428571
Bishop,48.87417219,7.571428571
Bishop,48.97350993,7.571428571
Bishop,49.07284768,7.571428571
Bishop,49.17218543,7.571428571
Bishop,49.27152318,7.571428571
Bishop,49.37086093,7.607142857
Bishop,49.47019868,7.607142857
Bishop,49.56953642,7.607142857
Bishop,49.66887417,7.607142857
Bishop,49.76821192,7.607142857
Bishop,49.86754967,7.607142857
Bishop,49.96688742,7.571428571
Bishop,50.06622517,7.571428571
Bishop,50.16556291,7.571428571
Bishop,50.26490066,7.535714286
Bishop,50.36423841,7.535714286
Bishop,50.46357616,7.5
Bishop,50.56291391,7.5
Bishop,50.66225166,7.464285714
Bishop,50.7615894,7.464285714
Bishop,50.86092715,7.428571429
Bishop,50.9602649,7.428571429
Bishop,51.05960265,7.392857143
Bishop,51.1589404,7.357142857
Bishop,51.25827815,7.321428571
Bishop,51.35761589,7.285714286
Bishop,51.45695364,7.25
Bishop,51.55629139,7.214285714
Bishop,51.65562914,7.178571429
Bishop,51.75496689,7.142857143
Bishop,51.85430464,7.107142857
Bishop,51.95364238,7.071428571
Bishop,52.05298013,7
Bishop,52.15231788,6.964285714
Bishop,52.25165563,6.928571429
Bishop,52.35099338,6.892857143
Bishop,52.45033113,6.857142857
Bishop,52.54966887,6.821428571
Bishop,52.64900662,6.785714286
Bishop,52.74834437,6.714285714
Bishop,52.84768212,6.678571429
Bishop,52.94701987,6.642857143
Bishop,53.04635762,6.571428571
Bishop,53.14569536,6.5
Bishop,53.24503311,6.464285714
Bishop,53.34437086,6.392857143
Bishop,53.44370861,6.357142857
Bishop,53.54304636,6.285714286
Bishop,53.64238411,6.214285714
Bishop,53.74172185,6.178571429
Bishop,53.8410596,6.107142857
Bishop,53.94039735,6.035714286
Bishop,54.0397351,5.964285714
Bishop,54.13907285,5.892857143
Bishop,54.2384106,5.821428571
Bishop,54.33774834,5.714285714
Bishop,54.43708609,5.642857143
Bishop,54.53642384,5.535714286
Bishop,54.63576159,5.464285714
Bishop,54.73509934,5.392857143
Bishop,54.83443709,5.321428571
Bishop,54.93377483,5.25
Bishop,55.03311258,5.142857143
Bishop,55.13245033,5.071428571
Bishop,55.23178808,5
Bishop,55.33112583,4.928571429
Bishop,55.43046358,4.857142857
Bishop,55.52980132,4.785714286
Bishop,55.62913907,4.678571429
Bishop,55.72847682,4.607142857
Bishop,55.82781457,4.5
Bishop,55.92715232,4.428571429
Bishop,56.02649007,4.357142857
Bishop,56.12582781,4.285714286
Bishop,56.22516556,4.214285714
Bishop,56.32450331,4.142857143
Bishop,56.42384106,4.071428571
Bishop,56.52317881,4
Bishop,56.62251656,3.892857143
Bishop,56.7218543,3.571428571
Bishop,56.82119205,3.535714286
Bishop,56.9205298,3.5
Bishop,57.01986755,3.464285714
Bishop,57.1192053,3.392857143
Bishop,57.21854305,3.285714286
Bishop,57.31788079,3.214285714
Bishop,57.41721854,3.071428571
Bishop,57.51655629,3
Bishop,57.61589404,2.857142857
Bishop,57.71523179,2.75
Bishop,57.81456954,2.642857143
Bishop,57.91390728,2.5
Bishop,58.01324503,2.428571429
Bishop,58.11258278,2.285714286
Bishop,58.21192053,2.178571429
Bishop,58.31125828,2.071428571
Bishop,58.41059603,1.928571429
Bishop,58.50993377,1.857142857
Bishop,58.60927152,1.714285714
Bishop,58.70860927,1.607142857
Bishop,58.80794702,1.5
Bishop,58.90728477,1.357142857
Bishop,59.00662252,1.285714286
Bishop,59.10596026,1.142857143
Bishop,59.20529801,1.035714286
Bishop,59.30463576,0.928571429
Bishop,59.40397351,0.785714286
Bishop,59.50331126,0.714285714
Bishop,59.60264901,0.571428571
Bishop,59.70198675,0.464285714
Bishop,59.8013245,0.357142857
Bishop,59.90066225,0.25
Bishop,60,0.142857143
Queen,23.03030303,7.607142857
Queen,23.13131313,7.571428571
Queen,23.23232323,7.5
Queen,23.33333333,7.464285714
Queen,23.43434343,7.428571429
Queen,23.53535354,7.357142857
Queen,23.63636364,7.321428571
Queen,23.73737374,7.285714286
Queen,23.83838384,7.25
Queen,23.93939394,7.214285714
Queen,24.04040404,7.178571429
Queen,24.14141414,7.142857143
Queen,24.24242424,7.107142857
Queen,24.34343434,7.035714286
Queen,24.44444444,7
Queen,24.54545455,6.964285714
Queen,24.64646465,6.928571429
Queen,24.74747475,6.892857143
Queen,24.84848485,6.857142857
Queen,24.94949495,6.821428571
Queen,25.05050505,6.785714286
Queen,25.15151515,6.75
Queen,25.25252525,6.678571429
Queen,25.35353535,6.642857143
Queen,25.45454545,6.607142857
Queen,25.55555556,6.571428571
Queen,25.65656566,6.535714286
Queen,25.75757576,6.5
Queen,25.85858586,6.464285714
Queen,25.95959596,6.428571429
Queen,26.06060606,6.357142857
Queen,26.16161616,6.321428571
Queen,26.26262626,6.285714286
Queen,26.36363636,6.25
Queen,26.46464646,6.214285714
Queen,26.56565657,6.178571429
Queen,26.66666667,6.142857143
Queen,26.76767677,6.107142857
Queen,26.86868687,6.035714286
Queen,26.96969697,6
Queen,27.07070707,5.964285714
Queen,27.17171717,5.928571429
Queen,27.27272727,5.892857143
Queen,27.37373737,5.857142857
Queen,27.47474747,5.821428571
Queen,27.57575758,5.785714286
Queen,27.67676768,5.75
Queen,27.77777778,5.714285714
Queen,27.87878788,5.678571429
Queen,27.97979798,5.678571429
Queen,28.08080808,5.642857143
Queen,28.18181818,5.607142857
Queen,28.28282828,5.571428571
Queen,28.38383838,5.535714286
Queen,28.48484848,5.535714286
Queen,28.58585859,5.5
Queen,28.68686869,5.464285714
Queen,28.78787879,5.428571429
Queen,28.88888889,5.428571429
Queen,28.98989899,5.392857143
Queen,29.09090909,5.357142857
Queen,29.19191919,5.321428571
Queen,29.29292929,5.321428571
Queen,29.39393939,5.285714286
Queen,29.49494949,5.25
Queen,29.5959596,5.214285714
Queen,29.6969697,5.178571429
Queen,29.7979798,5.178571429
Queen,29.8989899,5.142857143
Queen,30,5.107142857
Queen,30.1010101,5.071428571
Queen,30.2020202,5.071428571
Queen,30.3030303,5.035714286
Queen,30.4040404,5
Queen,30.50505051,4.964285714
Queen,30.60606061,4.928571429
Queen,30.70707071,4.928571429
Queen,30.80808081,4.892857143
Queen,30.90909091,4.857142857
Queen,31.01010101,4.821428571
Queen,31.11111111,4.821428571
Queen,31.21212121,4.785714286
Queen,31.31313131,4.75
Queen,31.41414141,4.714285714
Queen,31.51515152,4.678571429
Queen,31.61616162,4.678571429
Queen,31.71717172,4.642857143
Queen,31.81818182,4.607142857
Queen,31.91919192,4.571428571
Queen,32.02020202,4.571428571
Queen,32.12121212,4.535714286
Queen,32.22222222,4.535714286
Queen,32.32323232,4.535714286
Queen,32.42424242,4.5
Queen,32.52525253,4.5
Queen,32.62626263,4.464285714
Queen,32.72727273,4.464285714
Queen,32.82828283,4.428571429
Queen,32.92929293,4.428571429
Queen,33.03030303,4.392857143
Queen,33.13131313,4.392857143
Queen,33.23232323,4.392857143
Queen,33.33333333,4.357142857
Queen,33.43434343,4.357142857
Queen,33.53535354,4.321428571
Queen,33.63636364,4.321428571
Queen,33.73737374,4.285714286
Queen,33.83838384,4.285714286
Queen,33.93939394,4.25
Queen,34.04040404,4.25
Queen,34.14141414,4.25
Queen,34.24242424,4.214285714
Queen,34.34343434,4.214285714
Queen,34.44444444,4.178571429
Queen,34.54545455,4.178571429
Queen,34.64646465,4.142857143
Queen,34.74747475,4.142857143
Queen,34.84848485,4.107142857
Queen,34.94949495,4.107142857
Queen,35.05050505,4.071428571
Queen,35.15151515,4.071428571
Queen,35.25252525,4.035714286
Queen,35.35353535,4.035714286
Queen,35.45454545,4.035714286
Queen,35.55555556,4
Queen,35.65656566,4
Queen,35.75757576,3.964285714
Queen,35.85858586,3.964285714
Queen,35.95959596,3.928571429
Queen,36.06060606,3.928571429
Queen,36.16161616,3.892857143
Queen,36.26262626,3.892857143
Queen,36.36363636,3.892857143
Queen,36.46464646,3.857142857
Queen,36.56565657,3.857142857
Queen,36.66666667,3.857142857
Queen,36.76767677,3.857142857
Queen,36.86868687,3.857142857
Queen,36.96969697,3.857142857
Queen,37.07070707,3.857142857
Queen,37.17171717,3.821428571
Queen,37.27272727,3.821428571
Queen,37.37373737,3.821428571
Queen,37.47474747,3.821428571
Queen,37.57575758,3.821428571
Queen,37.67676768,3.821428571
Queen,37.77777778,3.821428571
Queen,37.87878788,3.785714286
Queen,37.97979798,3.785714286
Queen,38.08080808,3.785714286
Queen,38.18181818,3.785714286
Queen,38.28282828,3.785714286
Queen,38.38383838,3.785714286
Queen,38.48484848,3.785714286
Queen,38.58585859,3.75
Queen,38.68686869,3.75
Queen,38.78787879,3.75
Queen,38.88888889,3.75
Queen,38.98989899,3.75
Queen,39.09090909,3.75
Queen,39.19191919,3.75
Queen,39.29292929,3.75
Queen,39.39393939,3.714285714
Queen,39.49494949,3.714285714
Queen,39.5959596,3.714285714
Queen,39.6969697,3.714285714
Queen,39.7979798,3.714285714
Queen,39.8989899,3.714285714
Queen,40,3.678571429
Queen,40.1010101,3.678571429
Queen,40.2020202,3.678571429
Queen,40.3030303,3.678571429
Queen,40.4040404,3.678571429
Queen,40.50505051,3.678571429
Queen,40.60606061,3.678571429
Queen,40.70707071,3.678571429
Queen,40.80808081,3.642857143
Queen,40.90909091,3.642857143
Queen,41.01010101,3.678571429
Queen,41.11111111,3.678571429
Queen,41.21212121,3.678571429
Queen,41.31313131,3.678571429
Queen,41.41414141,3.678571429
Queen,41.51515152,3.678571429
Queen,41.61616162,3.714285714
Queen,41.71717172,3.714285714
Queen,41.81818182,3.714285714
Queen,41.91919192,3.714285714
Queen,42.02020202,3.714285714
Queen,42.12121212,3.714285714
Queen,42.22222222,3.75
Queen,42.32323232,3.75
Queen,42.42424242,3.75
Queen,42.52525253,3.75
Queen,42.62626263,3.75
Queen,42.72727273,3.75
Queen,42.82828283,3.785714286
Queen,42.92929293,3.785714286
Queen,43.03030303,3.785714286
Queen,43.13131313,3.785714286
Queen,43.23232323,3.785714286
Queen,43.33333333,3.785714286
Queen,43.43434343,3.821428571
Queen,43.53535354,3.821428571
Queen,43.63636364,3.821428571
